GPU Used,Text File,Context Size,Batch Size,Total Characters,Total Tokens,Characters/Tokens,Entropy,Compression Ratio,Redundancy,Time(mins)
NVIDIA L4,bookcorpus_1MB,128,64,1048576,274374,3.82,1.0660309791564941,1.7793960571289062,0.7283963981038049,21.54454234043757
NVIDIA L4,text8_1MB,128,64,1048576,218999,4.79,0.9430952072143555,1.5607757568359375,0.6989614868865459,17.110895196596783
NVIDIA L4,text8_1MB_with_summary,128,64,1049202,219142,4.79,0.942562001883336,1.5589219235190173,0.6991485163349183,17.114317711194357
NVIDIA L4,bookcorpus_1MB,256,64,1048576,274374,3.82,0.9281550645828247,1.6043472290039062,0.7635244532402244,30.968832445144653
NVIDIA L4,bookcorpus_1MB_with_summary,256,64,1049439,274565,3.82,0.929108135394244,1.6034395519892057,0.7632516131577829,31.03892526626587
NVIDIA L4,text8_1MB,256,64,1048576,218999,4.79,0.8337142467498779,1.422149658203125,0.7338761820830232,24.87261543273926
NVIDIA L4,text8_1MB_with_summary,256,64,1049202,219142,4.79,0.834102608458619,1.4231387282906438,0.7337671083893853,24.8153160293897
NVIDIA L4,bookcorpus_1MB,512,64,1048576,274374,3.82,0.8441212773323059,1.4903106689453125,0.7849345996097784,33.8009311079979
NVIDIA L4,bookcorpus_1MB_with_summary,512,64,1049439,274565,3.82,0.8442028907825991,1.4899846489410056,0.7848865326364735,33.826435430844626
